#name	length	coverage
NODE_1	243898	99.830924
NODE_2	231893	129.212131
NODE_3	222014	100.738961
NODE_4	220242	94.622108
NODE_5	176512	107.252390
NODE_6	165671	95.717056
NODE_7	159616	122.766403
NODE_8	155441	129.417869
NODE_9	154027	97.944094
NODE_10	153364	117.135224
NODE_11	149504	141.693601
NODE_12	122315	115.318804
NODE_13	105355	109.407369
NODE_14	92476	130.384999
NODE_15	88672	117.834998
NODE_16	53281	119.700353
NODE_17	49655	108.710121
NODE_18	38003	124.331348
NODE_19	34664	130.359733
NODE_20	34413	120.405524
NODE_21	33188	106.522380
NODE_22	25532	209.040059
NODE_23	21807	251.011539
NODE_24	21209	96.848208
NODE_25	20080	112.339326
NODE_26	11951	105.498403
NODE_27	6066	236.931625
NODE_28	5482	124.237332
NODE_29	4804	124.534007
NODE_30	4372	126.247626
NODE_31	3942	78.704657
NODE_32	2564	135.792746
NODE_33	1793	122.303797
NODE_34	1721	131.015006
NODE_35	1659	758.627805
NODE_36	1593	791.621586
NODE_37	1559	228.378563
NODE_38	1501	740.746196
NODE_39	918	2.860950
NODE_40	797	736.397574
NODE_41	761	2.409348
NODE_42	756	141.651926
NODE_43	730	2.672593
NODE_44	705	1.610769
NODE_45	583	1.714015
NODE_46	580	218.472381
NODE_47	579	2.797710
NODE_48	568	4.134503
NODE_49	531	2.182773
NODE_50	513	248.543668
NODE_51	470	2.414458
NODE_52	464	1.889976
NODE_53	443	1.592784
NODE_54	441	683.650259
NODE_55	441	2.963731
NODE_56	431	2.510638
NODE_57	430	2.280000
NODE_58	404	2.160458
NODE_59	399	270.441860
NODE_60	399	1.375000
NODE_61	387	2.042169
NODE_62	377	2.105590
NODE_63	369	252.796178
NODE_64	366	2.096463
NODE_65	364	2.019417
NODE_66	363	2.107143
NODE_67	360	408.501639
NODE_68	359	1.779605
NODE_69	351	1.520270
NODE_70	350	1.247458
NODE_71	346	748.522337
NODE_72	345	1.262069
NODE_73	342	1.198606
NODE_74	337	1.957447
NODE_75	337	1.780142
NODE_76	334	2.293907
NODE_77	334	1.623656
NODE_78	331	1.706522
NODE_79	330	2.218182
NODE_80	327	1.091912
NODE_81	325	1.814815
NODE_82	322	2.397004
NODE_83	319	1.727273
NODE_84	316	1.873563
NODE_85	316	1.344828
NODE_86	312	1.252918
NODE_87	308	1.454545
NODE_88	307	2.547619
NODE_89	304	2.216867
NODE_90	304	1.481928
NODE_91	304	1.108434
NODE_92	302	2.303644
NODE_93	300	1.689796
NODE_94	299	1.172131
NODE_95	292	1.831224
NODE_96	292	1.164557
NODE_97	290	1.370213
NODE_98	289	1.756410
NODE_99	287	2.181034
NODE_100	283	1.815789
NODE_101	283	1.201754
NODE_102	280	1.022222
NODE_103	280	1.022222
NODE_104	279	1.642857
NODE_105	279	1.424107
NODE_106	278	2.690583
NODE_107	278	1.434978
NODE_108	278	1.206278
NODE_109	278	1.031390
NODE_110	277	1.810811
NODE_111	274	1.470320
NODE_112	273	1.458716
NODE_113	271	1.939815
NODE_114	271	1.277778
NODE_115	270	1.711628
NODE_116	269	1.467290
NODE_117	268	2.140845
NODE_118	268	1.492958
NODE_119	268	1.079812
NODE_120	266	1.725118
NODE_121	265	1.533333
NODE_122	265	1.314286
NODE_123	264	1.320574
NODE_124	263	1.298077
NODE_125	262	1.763285
NODE_126	262	1.111111
NODE_127	261	1.733010
NODE_128	261	1.563107
NODE_129	260	3.053659
NODE_130	260	1.453659
NODE_131	260	0.897561
NODE_132	259	1.725490
NODE_133	259	1.294118
NODE_134	259	1.127451
NODE_135	259	1.117647
NODE_136	257	1.589109
NODE_137	257	1.351485
NODE_138	257	1.138614
NODE_139	256	117.696517
NODE_140	256	1.353234
NODE_141	256	1.303483
NODE_142	255	217.235000
NODE_143	255	1.150000
NODE_144	254	1.150754
NODE_145	254	0.924623
NODE_146	254	0.924623
NODE_147	252	1.401015
NODE_148	251	2.346939
NODE_149	251	1.535714
NODE_150	250	1.507692
NODE_151	250	1.415385
NODE_152	249	1.185567
NODE_153	248	1.658031
NODE_154	248	1.652850
NODE_155	248	1.191710
NODE_156	248	1.134715
NODE_157	248	0.953368
NODE_158	247	1.895833
NODE_159	247	1.677083
NODE_160	247	1.437500
NODE_161	246	1.366492
NODE_162	246	1.204188
NODE_163	245	0.968421
NODE_164	244	1.677249
NODE_165	244	1.386243
NODE_166	244	1.216931
NODE_167	244	1.211640
NODE_168	244	0.973545
NODE_169	243	1.696809
NODE_170	243	1.462766
NODE_171	243	1.111702
NODE_172	242	1.711230
NODE_173	242	1.663102
NODE_174	242	1.475936
NODE_175	242	0.983957
NODE_176	241	1.483871
NODE_177	241	0.989247
NODE_178	240	1.491892
NODE_179	240	1.367568
NODE_180	240	1.270270
NODE_181	240	1.243243
NODE_182	240	0.994595
NODE_183	239	1.750000
NODE_184	239	1.086957
NODE_185	239	1.000000
NODE_186	239	0.989130
NODE_187	239	0.989130
NODE_188	238	116.825137
NODE_189	238	1.710383
NODE_190	238	1.710383
NODE_191	238	1.256831
NODE_192	238	1.147541
NODE_193	238	1.005464
NODE_194	238	0.890710
NODE_195	237	1.109890
NODE_196	236	1.524862
NODE_197	236	1.519337
NODE_198	236	1.497238
NODE_199	236	1.016575
NODE_200	235	1.522222
NODE_201	235	1.250000
NODE_202	235	0.905556
NODE_203	234	270.921788
NODE_204	234	1.798883
NODE_205	234	1.284916
NODE_206	234	1.284916
NODE_207	234	1.027933
NODE_208	234	1.027933
NODE_209	234	1.027933
NODE_210	233	1.943820
NODE_211	233	1.550562
NODE_212	233	1.550562
NODE_213	233	1.500000
NODE_214	233	1.292135
NODE_215	233	1.280899
NODE_216	233	1.134831
NODE_217	233	1.033708
NODE_218	232	1.299435
NODE_219	232	1.299435
NODE_220	232	1.299435
NODE_221	232	1.039548
NODE_222	232	1.022599
NODE_223	232	1.000000
NODE_224	231	1.670455
NODE_225	231	1.625000
NODE_226	231	1.602273
NODE_227	231	1.306818
NODE_228	231	1.306818
NODE_229	231	1.045455
NODE_230	231	1.045455
NODE_231	231	1.045455
NODE_232	231	1.045455
NODE_233	230	2.102857
NODE_234	230	1.605714
NODE_235	230	1.291429
NODE_236	230	1.291429
NODE_237	230	1.188571
NODE_238	230	1.051429
NODE_239	230	1.051429
NODE_240	230	0.988571
NODE_241	229	1.850575
NODE_242	229	1.850575
NODE_243	229	1.787356
NODE_244	229	1.724138
NODE_245	229	1.442529
NODE_246	229	1.431034
NODE_247	229	1.362069
NODE_248	229	1.321839
NODE_249	229	1.321839
NODE_250	229	1.057471
NODE_251	229	1.057471
NODE_252	228	1.294798
NODE_253	228	1.063584
NODE_254	228	1.063584
NODE_255	228	1.063584
NODE_256	228	1.052023
NODE_257	228	1.040462
NODE_258	228	1.000000
NODE_259	228	0.965318
NODE_260	227	2.104651
NODE_261	227	1.965116
NODE_262	227	1.872093
NODE_263	227	1.732558
NODE_264	227	1.552326
NODE_265	227	1.244186
NODE_266	227	1.069767
NODE_267	227	1.069767
NODE_268	226	256.140351
NODE_269	226	2.152047
NODE_270	226	1.830409
NODE_271	226	1.140351
NODE_272	225	1.894118
NODE_273	225	1.070588
NODE_274	225	0.894118
NODE_275	224	2.911243
NODE_276	224	1.621302
NODE_277	224	1.431953
NODE_278	224	1.360947
NODE_279	224	1.349112
NODE_280	224	1.189349
NODE_281	224	1.088757
NODE_282	224	1.088757
NODE_283	224	1.088757
NODE_284	224	1.071006
NODE_285	223	2.386905
NODE_286	223	1.369048
NODE_287	223	1.250000
NODE_288	223	1.095238
NODE_289	223	1.095238
NODE_290	223	1.095238
NODE_291	223	1.095238
NODE_292	223	1.095238
NODE_293	223	0.970238
NODE_294	223	0.851190
NODE_295	222	1.479042
NODE_296	222	1.269461
NODE_297	222	1.101796
NODE_298	222	1.101796
NODE_299	222	1.101796
NODE_300	222	1.101796
NODE_301	222	1.047904
NODE_302	222	0.976048
NODE_303	221	1.728916
NODE_304	221	1.644578
NODE_305	221	1.578313
NODE_306	221	1.385542
NODE_307	221	1.108434
NODE_308	221	1.108434
NODE_309	221	1.108434
NODE_310	221	1.030120
NODE_311	220	2.030303
NODE_312	220	1.672727
NODE_313	220	1.642424
NODE_314	220	1.393939
NODE_315	220	1.290909
NODE_316	220	1.115152
NODE_317	220	0.860606
NODE_318	219	1.682927
NODE_319	219	1.682927
NODE_320	219	1.402439
NODE_321	219	1.402439
NODE_322	219	1.347561
NODE_323	219	1.347561
NODE_324	219	1.121951
NODE_325	219	1.121951
NODE_326	219	1.121951
NODE_327	219	1.121951
NODE_328	219	1.121951
NODE_329	219	0.914634
NODE_330	218	1.693252
NODE_331	218	1.687117
NODE_332	218	1.411043
NODE_333	218	1.404908
NODE_334	218	1.349693
NODE_335	218	1.300613
NODE_336	218	1.159509
NODE_337	217	1.814815
NODE_338	217	1.413580
NODE_339	217	1.135802
NODE_340	217	1.135802
NODE_341	217	1.135802
NODE_342	217	0.981481
NODE_343	216	1.714286
NODE_344	216	1.428571
NODE_345	216	1.428571
NODE_346	216	1.428571
NODE_347	216	1.142857
NODE_348	216	1.142857
NODE_349	215	2.243750
NODE_350	215	1.725000
NODE_351	215	1.412500
NODE_352	215	1.150000
NODE_353	215	1.150000
NODE_354	215	1.150000
NODE_355	215	1.150000
NODE_356	215	1.150000
NODE_357	215	1.150000
NODE_358	215	0.950000
NODE_359	214	1.993711
NODE_360	214	1.534591
NODE_361	214	1.402516
NODE_362	214	1.157233
NODE_363	214	1.157233
NODE_364	214	1.157233
