#name	length	coverage
NODE_1	222875	176.865116
NODE_2	145496	167.394848
NODE_3	114264	198.360367
NODE_4	88090	214.401419
NODE_5	87970	162.457036
NODE_6	79702	196.246156
NODE_7	78752	186.616795
NODE_8	78364	220.639171
NODE_9	78033	167.713837
NODE_10	77760	219.710208
NODE_11	76546	155.661936
NODE_12	75624	171.901004
NODE_13	64040	236.320503
NODE_14	63392	177.547036
NODE_15	61533	176.462428
NODE_16	59595	239.788249
NODE_17	48958	204.791920
NODE_18	44207	253.540175
NODE_19	42588	215.297253
NODE_20	41987	222.654997
NODE_21	40280	206.991007
NODE_22	37803	208.949733
NODE_23	35402	187.099471
NODE_24	35375	200.674173
NODE_25	34605	220.892539
NODE_26	33129	180.816276
NODE_27	32284	190.744536
NODE_28	31896	134.991246
NODE_29	31259	172.216591
NODE_30	31252	186.310052
NODE_31	30302	231.306933
NODE_32	29397	181.695901
NODE_33	28395	220.295488
NODE_34	26797	222.518676
NODE_35	26435	179.944529
NODE_36	25404	207.278262
NODE_37	23814	234.251923
NODE_38	23334	229.143507
NODE_39	22636	201.002786
NODE_40	21807	425.639106
NODE_41	21108	165.025850
NODE_42	20030	218.337416
NODE_43	20019	190.233020
NODE_44	19463	172.940117
NODE_45	19129	187.812919
NODE_46	19007	143.021020
NODE_47	18916	159.579694
NODE_48	18475	158.412358
NODE_49	18283	165.393307
NODE_50	17901	219.305717
NODE_51	17747	182.628505
NODE_52	17599	203.380847
NODE_53	16245	147.665351
NODE_54	16108	206.449481
NODE_55	14419	152.164235
NODE_56	14299	190.496427
NODE_57	13789	206.579483
NODE_58	13009	151.401186
NODE_59	12523	242.214754
NODE_60	12409	225.124112
NODE_61	11666	165.510008
NODE_62	11636	305.751959
NODE_63	10983	179.367038
NODE_64	10657	204.180869
NODE_65	10077	137.915639
NODE_66	9754	388.858053
NODE_67	9574	188.140643
NODE_68	9428	207.442412
NODE_69	9188	174.083815
NODE_70	9125	215.900989
NODE_71	6976	179.322831
NODE_72	6066	400.691773
NODE_73	5748	261.552668
NODE_74	5757	200.213712
NODE_75	5743	192.303778
NODE_76	5661	167.319198
NODE_77	5399	158.866208
NODE_78	5221	167.164742
NODE_79	5192	218.220244
NODE_80	4889	195.179893
NODE_81	4781	208.984441
NODE_82	4339	220.617524
NODE_83	4117	370.866080
NODE_84	3997	225.871601
NODE_85	3973	203.329281
NODE_86	3833	228.150998
NODE_87	3536	246.389063
NODE_88	3535	260.125926
NODE_89	3417	212.665389
NODE_90	2741	220.950295
NODE_91	2685	133.113158
NODE_92	2582	265.771998
NODE_93	2514	210.041382
NODE_94	2504	264.759984
NODE_95	2241	117.819495
NODE_96	2240	198.486682
NODE_97	1733	274.069672
NODE_98	1704	1319.318642
NODE_99	1643	201.972188
NODE_100	1603	206.262991
NODE_101	1504	83.487492
NODE_102	1386	545.814842
NODE_103	1327	225.800307
NODE_104	1315	1293.831008
NODE_105	1305	5.369531
NODE_106	1254	201.436127
NODE_107	1217	3.182886
NODE_108	1094	239.229186
NODE_109	1082	3.366131
NODE_110	1055	208.233010
NODE_111	971	4.995772
NODE_112	909	4.475113
NODE_113	898	3.723940
NODE_114	890	2.516763
NODE_115	882	3.239207
NODE_116	792	529.221643
NODE_117	728	3.102418
NODE_118	727	2.158120
NODE_119	718	3.339105
NODE_120	676	1300.402458
NODE_121	659	2.705047
NODE_122	650	2.716800
NODE_123	643	1266.733010
NODE_124	638	1.672104
NODE_125	610	1.524786
NODE_126	594	2.734622
NODE_127	591	1139.560071
NODE_128	590	2.559292
NODE_129	580	375.007207
NODE_130	558	2.681051
NODE_131	556	139.610169
NODE_132	555	2.656604
NODE_133	549	2.040076
NODE_134	547	3.005747
NODE_135	542	2.241779
NODE_136	541	1.672481
NODE_137	538	1.653021
NODE_138	537	2.904297
NODE_139	533	1368.482283
NODE_140	526	2.407186
NODE_141	524	137.687375
NODE_142	515	1.551020
NODE_143	514	2.754601
NODE_144	513	421.551230
NODE_145	512	2.246407
NODE_146	505	2.972917
NODE_147	504	2.475992
NODE_148	498	4.088795
NODE_149	492	2.413276
NODE_150	489	4.209052
NODE_151	485	4.356522
NODE_152	480	1.457143
NODE_153	470	1.878652
NODE_154	466	2.231293
NODE_155	463	2.173516
NODE_156	458	1.967667
NODE_157	458	1.870670
NODE_158	452	1.953162
NODE_159	448	184.758865
NODE_160	447	1.490521
NODE_161	447	1.260664
NODE_162	444	1.780430
NODE_163	441	2.269231
NODE_164	441	1.925481
NODE_165	435	2.602439
NODE_166	435	2.214634
NODE_167	435	1.841463
NODE_168	434	1.985330
NODE_169	434	1.821516
NODE_170	428	2.220844
NODE_171	426	1.885287
NODE_172	426	1.403990
NODE_173	424	1.904762
NODE_174	420	1.989873
NODE_175	418	2.338422
NODE_176	416	1.703325
NODE_177	412	2.645995
NODE_178	410	1.771429
NODE_179	406	2.380577
NODE_180	406	2.049869
NODE_181	405	3.021053
NODE_182	403	2.420635
NODE_183	402	84.145889
NODE_184	402	1.554377
NODE_185	401	1.202128
NODE_186	400	2.026667
NODE_187	399	455.184492
NODE_188	399	3.133690
NODE_189	399	1.422460
NODE_190	398	4.493298
NODE_191	397	1.784946
NODE_192	397	1.271505
NODE_193	396	2.253369
NODE_194	392	1.632153
NODE_195	392	1.163488
NODE_196	387	1.889503
NODE_197	384	2.111421
NODE_198	382	1.459384
NODE_199	381	1.727528
NODE_200	380	1.107042
NODE_201	379	2.350282
NODE_202	378	1.648725
NODE_203	378	1.427762
NODE_204	377	3.437500
NODE_205	374	4.575931
NODE_206	373	2.669540
NODE_207	373	1.830460
NODE_208	373	1.750000
NODE_209	372	1.890490
NODE_210	371	1.491329
NODE_211	370	1.542029
NODE_212	369	2.241279
NODE_213	367	2.195906
NODE_214	364	1.545723
NODE_215	363	2.263314
NODE_216	363	2.008876
NODE_217	362	2.979228
NODE_218	362	1.439169
NODE_219	361	1.583333
NODE_220	360	1.549254
NODE_221	358	1.735736
NODE_222	358	1.555556
NODE_223	357	1.789157
NODE_224	351	2.223926
NODE_225	350	1.870769
NODE_226	349	3.049383
NODE_227	349	1.848765
NODE_228	349	1.243827
NODE_229	348	1.817337
NODE_230	347	1.968944
NODE_231	345	1.893750
NODE_232	344	1.667712
NODE_233	341	1.443038
NODE_234	336	1.691318
NODE_235	335	1.961290
NODE_236	335	1.716129
NODE_237	335	1.554839
NODE_238	335	1.470968
NODE_239	335	1.441935
NODE_240	333	2.678571
NODE_241	333	2.038961
NODE_242	333	1.480519
NODE_243	332	2.892508
NODE_244	332	1.485342
NODE_245	332	0.977199
NODE_246	331	1.977124
NODE_247	331	1.490196
NODE_248	330	2.219672
NODE_249	330	1.190164
NODE_250	329	1.500000
NODE_251	328	1.547855
NODE_252	327	2.013245
NODE_253	327	1.963576
NODE_254	327	1.761589
NODE_255	323	1.778523
NODE_256	323	1.657718
NODE_257	322	2.464646
NODE_258	322	2.047138
NODE_259	322	1.531987
NODE_260	321	2.293919
NODE_261	321	1.540541
NODE_262	321	1.195946
NODE_263	320	2.027119
NODE_264	320	1.732203
NODE_265	320	1.050847
NODE_266	319	1.486395
NODE_267	318	1.511945
NODE_268	318	1.262799
NODE_269	317	1.821918
NODE_270	317	1.582192
NODE_271	317	1.561644
NODE_272	316	2.336770
NODE_273	316	2.030928
NODE_274	316	1.817869
NODE_275	316	1.426117
NODE_276	315	2.348276
NODE_277	315	1.613793
NODE_278	315	1.575862
NODE_279	315	1.572414
NODE_280	315	1.531034
NODE_281	315	1.220690
NODE_282	314	2.034602
NODE_283	314	1.577855
NODE_284	314	1.314879
NODE_285	314	1.314879
NODE_286	314	1.283737
NODE_287	313	2.031250
NODE_288	313	1.319444
NODE_289	311	1.793706
NODE_290	311	1.531469
NODE_291	311	1.391608
NODE_292	310	2.094737
NODE_293	310	1.677193
NODE_294	309	72.820423
NODE_295	309	1.070423
NODE_296	308	2.568905
NODE_297	308	2.098940
NODE_298	308	1.416961
NODE_299	307	1.617021
NODE_300	307	1.078014
NODE_301	304	3.598566
NODE_302	304	1.634409
NODE_303	304	1.609319
NODE_304	304	1.089606
NODE_305	303	1.956835
NODE_306	303	1.604317
NODE_307	303	1.456835
NODE_308	302	1.898917
NODE_309	302	1.638989
NODE_310	301	2.148551
NODE_311	300	1.654545
NODE_312	300	1.381818
NODE_313	300	1.381818
NODE_314	300	1.236364
NODE_315	299	1.872263
NODE_316	298	1.798535
NODE_317	298	1.670330
NODE_318	297	2.227941
NODE_319	297	1.676471
NODE_320	297	1.676471
NODE_321	297	1.397059
NODE_322	297	1.073529
NODE_323	295	1.896296
NODE_324	295	1.407407
NODE_325	295	1.407407
NODE_326	294	1.275093
NODE_327	293	2.876866
NODE_328	293	2.268657
NODE_329	293	1.694030
NODE_330	293	1.283582
NODE_331	293	1.134328
